ID,URL,Date,Valid Phish
7281982,https://service.post-ch-ekp-web-ui-8f661ee7.haardhoutdiscount.nl/VzR4Z..., on Sep 3rd 2021 2:56 PM,Unknown
7281981,https://maklononline.nutrifood.co.id/mode/sockett/WeTransfer2020/index..., on Sep 3rd 2021 2:56 PM,VALID PHISH
7281864,https://post-ch-de.online-safe-deal.icu/order/CH370338354/..., on Sep 3rd 2021 11:35 AM,VALID PHISH
7281863,https://583315.selcdn.ru/fitch/fghvtft.html, on Sep 3rd 2021 11:35 AM,VALID PHISH
7281862,https://authority.builders/blog/wp-admin/user/poiuy/upgrade/..., on Sep 3rd 2021 11:35 AM,VALID PHISH
7281740,https://windowspgradeforall.weebly.com/, on Sep 3rd 2021 7:57 AM,Unknown
7281738,https://chemwood.com.pk/sch/, on Sep 3rd 2021 7:57 AM,Unknown
7281712,http://admin-h0stp0int-ch-459866d4.molasparaportoes.pt/SnNteHpQSjM4NnF..., on Sep 3rd 2021 7:14 AM,Unknown
7281688,http://admin-h0stp0int-ch-d962124a.molasparaportoes.pt/bE1ZN2w4VzVkU3p..., on Sep 3rd 2021 6:05 AM,Unknown
7281687,http://ch.portoeseautomatismos.pt/ch, on Sep 3rd 2021 6:04 AM,Unknown
7281685,https://www.ameli.fr/paris/assure/mentions-legales-cgu..., on Sep 3rd 2021 6:03 AM,Unknown
7281684,http://alexcomas.com/_/, on Sep 3rd 2021 6:03 AM,Unknown
7281676,https://my-packages.mars-cdn.com/-/Billing/dhl/DH2tAyUe9AsUx7b438/..., on Sep 3rd 2021 5:32 AM,VALID PHISH
7281675,https://my-packages.mars-cdn.com/-/Billing/dhl/..., on Sep 3rd 2021 5:32 AM,VALID PHISH
7281674,https://alexcomas.com/_/portal/Seleccione_medio_de_pago.php..., on Sep 3rd 2021 5:32 AM,Unknown
7281673,http://admin-h0stp0int-ch-9728905c.molasparaportoes.pt/Z0pPUjI3Tzd3bnh..., on Sep 3rd 2021 5:32 AM,Unknown
7281306,https://anytkavasilevagenesh.com/mccd/index.php..., on Sep 2nd 2021 7:38 PM,VALID PHISH
7281229,https://seetheworldtravels.com.au/ba/english/#..., on Sep 2nd 2021 5:44 PM,VALID PHISH
7281077,https://nitrousnation.com/-/c.php, on Sep 2nd 2021 3:04 PM,Unknown
7281076,https://digital7.vn/-/, on Sep 2nd 2021 3:04 PM,Unknown
7282677,https://562925.selcdn.ru/apc-fil/mgen.html, on Sep 4th 2021 9:46 AM,VALID PHISH
7282672,https://cw41887.tmweb.ru/main/1/, on Sep 4th 2021 8:54 AM,VALID PHISH
7282671,https://swiss-postch.elpg9309.odns.fr/, on Sep 4th 2021 8:54 AM,Unknown
7282647,http://admin-h0stp0int-ch-4789fe51.caixademusica.pt/NUFLc2hicW9kU010U1..., on Sep 4th 2021 7:47 AM,Unknown
7282629,http://admin-h0stp0int-ch-e6aa11b5.caixademusica.pt/Nlk3T0NEYUlwL052dF..., on Sep 4th 2021 6:45 AM,Unknown
7282628,http://ch.liberpater.pt/ch/, on Sep 4th 2021 6:45 AM,Unknown
7282620,https://cddls.weebly.com/, on Sep 4th 2021 5:24 AM,Unknown
7282239,http://www.fasyrerfile.com/, on Sep 3rd 2021 6:37 PM,Unknown
7282238,https://menudujouraulendemain.ch/, on Sep 3rd 2021 6:37 PM,Unknown
7282237,https://www.vn.ukrstat.gov.ua/images/stories/redirection/index.php..., on Sep 3rd 2021 6:37 PM,Unknown
7282083,http://swisspost-ch.budgetwinterband.nl/zugestellt/..., on Sep 3rd 2021 4:18 PM,Unknown
7282082,https://schweiz.homegate-ch.3001120345.3ty-ne.site/252891/..., on Sep 3rd 2021 4:18 PM,Unknown
7282081,https://schweiz.homegate-ch.3001120345.3ty-ne.site/..., on Sep 3rd 2021 4:18 PM,Unknown
7282080,https://swiss-post-tracking.parcels-service.com/03092021CH/..., on Sep 3rd 2021 4:18 PM,Unknown
7282079,https://www.fasyrerfile.com/, on Sep 3rd 2021 4:18 PM,Unknown
7282024,https://schweizpos.com/trackinginfo/, on Sep 3rd 2021 3:42 PM,Unknown
7282023,https://shamaghee.com/index2.php, on Sep 3rd 2021 3:42 PM,Unknown
7281985,https://unnusverkkazhal.fi/kunde.php, on Sep 3rd 2021 2:56 PM,Unknown
