date,value
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,1
2020-03-22,14
2020-03-29,80
2020-04-05,145
2020-04-12,199
2020-04-19,269
2020-04-26,288
2020-05-03,337
2020-05-10,502
2020-05-17,547
2020-05-24,646
2020-05-31,821
2020-06-07,1096
2020-06-14,1247
2020-06-21,1467
2020-06-28,1459
2020-07-05,1704
2020-07-12,1848
2020-07-19,1738
2020-07-26,1853
2020-08-02,2024
2020-08-09,1859
2020-08-16,1724
2020-08-23,1724
2020-08-30,1704
2020-09-06,1560
2020-09-13,2884
2020-09-20,1252
2020-09-27,1180
2020-10-04,1109
2020-10-11,1162
2020-10-18,1143
2020-10-25,1083
2020-11-01,966
2020-11-08,1224
2020-11-15,1028
2020-11-22,1185
2020-11-29,1108
2020-12-06,1128
2020-12-13,1194
2020-12-20,1374
2020-12-27,1316
2021-01-03,1186
2021-01-10,1583
2021-01-17,1977
2021-01-24,2289
2021-01-31,2424
2021-02-07,2039
2021-02-14,1937
2021-02-21,1602
2021-02-28,2065
2021-03-07,1374
2021-03-14,1242
2021-03-21,1325
2021-03-28,1538
2021-04-04,1769
2021-04-11,1840
2021-04-18,2270
2021-04-25,2304
2021-05-02,2182
2021-05-09,2281
2021-05-16,3039
2021-05-23,3154
2021-05-30,2758
2021-06-06,2836
2021-06-13,2959
2021-06-20,3426
2021-06-27,4311
2021-07-04,4509
2021-07-11,6089
2021-07-18,6439
2021-07-25,7051
2021-08-01,8736
2021-08-08,9270
2021-08-15,8601
2021-08-22,7292
2021-08-29,6716
2021-09-05,5758
2021-09-12,5379
