,url,pols&topics
0,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ada," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
1,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5c," Postulat Emmanuel Revaz, Les Vert.e.s, Martine Tristan, PLR/FDP, Fanny Darbellay, PDCB, und Daniel Garbely, CVPO: Das Wallis muss seine Ziele in Sachen Renaturierung der Gewässer erreichen 2020.03.075 "
2,http://vs.recapp.ch/viewer/detail/_?uid=613c6b15965e0b4391d20b5d," Postulat Emmanuel Revaz, Les Vert.e.s, Martine Tristan, PLR/FDP, Fanny Darbellay, PDCB, und Daniel Garbely, CVPO: Das Wallis muss seine Ziele in Sachen Renaturierung der Gewässer erreichen 2020.03.075 "
3,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20adb," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
4,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad9," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
5,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad8," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
6,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad4," Postulat Arnaud Schaller, PLR/FDP, Aïda Lips, UDC, Nathan Bender, PDCVr, und Diego Clausen: Gezielte Massnahmen zum Schutz vor extremen Wetterereignissen, insbesondere Frost 2021.05.111 "
7,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad5," Postulat PLR/FDP, durch Arnaud Schaller: Harmonisches Miteinander von Tourismus und Landwirtschaft fördern und Problemen vorgreifen 2021.05.112 "
8,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20af0," Dringliches Postulat UDC, durch Grégory Logean und Cynthia Trombert: Wolfsangriffe: Wir müssen handeln, bevor es zu spät ist!  2021.09.315 "
9,http://vs.recapp.ch/viewer/detail/_?uid=613c6812965e0b4391d20ad7," Postulat Damien Fumeaux, UDC, und Christian Roduit, PS/GC: Sensibilisierung der Jugendlichen für die Gefahren der Eisenbahn: Wie viele Tote braucht es noch? 2021.05.149 "
