latitude,longitude,name,ort,plz,strasse,hausnummer,typ
46.837574,8.186167,coop-supermarkt-giswil,Giswil,6074,Brünigstrasse,42,retail
46.728708,8.181781,coop-supermarkt-meiringen,Meiringen,3860,Alpwegern,2,retail
46.897303,8.251211,coop-supermarkt-sarnen,Sarnen,6060,Marktstrasse,32,retail
46.897303,8.251211,coop-restaurant-sarnen,Sarnen,6060,Marktstrasse,32,restaurant
46.820871,8.404397,coop-supermarkt-engelberg,Engelberg,6390,Titliszentrum,5,retail
46.820871,8.404397,coop-restaurant-engelberg,Engelberg,6390,Titliszentrum,5,restaurant
46.754612,8.036984,coop-supermarkt-brienz,Brienz,3855,Hauptstrasse,139,retail
46.937705,8.269723,coop-supermarkt-alpnach,Alpnach-Dorf,6055,Schoriederstrasse,1,retail
46.958373,8.368674,coop-supermarkt-stans,Stans,6370,Buochserstrasse,4/6,retail
46.958373,8.368674,coop-restaurant-stans,Stans,6370,Buochserstrasse,4/6,restaurant
46.624278,8.035829,coop-supermarkt-grindelwald,Grindelwald,3818,Dorfstrasse,101,retail
46.624237,8.035162,coop-vitality-grindelwald,Grindelwald,3818,Dorfstrasse,101,vitality
46.981689,8.310388,coop-supermarkt-hergiswil-bahnhofstrasse,Hergiswil,6052,Bahnhofstrasse,2,retail
46.975536,8.341713,coop-supermarkt-stansstad,Stansstad,6362,Schützenmatte,,retail
46.964964,8.381035,coop-bau-hobby-b-h-stans,Stans,6370,Rieden,5,bh
46.985953,8.311483,coop-supermarkt-hergiswil-landweg,Hergiswil,6052,Landweg,2,retail
46.945754,8.00806,pronto-schuepfheim,Schüpfheim,6170,Hindervormüli,15,pronto
46.947124,8.009205,coop-supermarkt-schuepfheim,Schüpfheim,6170,Hindervormüli,9,retail
46.979175,8.415774,coop-supermarkt-buochs,Buochs,6374,Nähseydi,6,retail
46.993344,8.06578,coop-supermarkt-entlebuch,Entlebuch,6162,Wilgutstrasse,1,retail
47.017518,8.299724,coop-supermarkt-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,19,retail
47.017518,8.299724,coop-restaurant-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,19,restaurant
47.017536,8.299725,coop-vitality-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,19,vitality
47.017536,8.299725,christ-kriens-pilatusmarkt-christ,Kriens,6010,Ringstrasse,19,christ
47.017525,8.300001,impo-kriens-pilatusmarkt-ip,Kriens,6010,Ringstrasse,19,impo
47.017674,8.299372,coop-city-city-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,19,city
47.01804,8.298509,coop-bau-hobby-b-h-kriens,Kriens,6010,Ringstrasse,19,bh
47.01785,8.302189,pronto-kriens-pilatusmarkt,Kriens,6010,Ringstrasse,15,pronto
47.019457,8.311015,coop-supermarkt-horw,Horw,6048,Kantonsstrasse,100,retail
47.026556,8.298869,lumimart-kriens,Kriens,6010,Nidfeldstrasse,12,lumimart
