Rang,Destination,Kuerzel,Sitzplätze,Prozent,Status,lat,lng
1,London Heathrow,LHR,15490,6.15,Comp,51.4700223,-0.4542955
2,Wien,VIE,12928,5.13,Mono,48.1126125,16.5755139
3,Amsterdam,AMS,11786,4.68,Comp,52.3105386,4.7682744
4,Frankfurt,FRA,10542,4.19,Mono,50.0379326,8.562151799999999
5,Genf,GVA,9751,3.87,Mono,46.2369794,6.109088799999999
6,Düsseldorf,DUS,9206,3.66,Mono,51.2876146,6.7667912
7,Hamburg,HAM,9200,3.65,Comp,53.633622,9.9974128
8,Berlin Tegel,TXL,9083,3.61,Comp,52.5588327,13.2884374
9,Paris Charle de Ggaulle,CDG,8719,3.46,Comp,49.0096739,2.547966
10,Madrid Barajas,MAD,7038,2.79,Comp,40.4983322,-3.5675982
11,Barcelona El Prat,BCN,6411,2.55,Comp,41.297445,2.0832941
12,München,MUC,6188,2.46,Mono,48.3509684,11.7764347
13,London City,LCY,6187,2.46,Comp,51.5048437,0.049518
14,Rom Fiumicino,FCO,6182,2.45,Comp,41.8034274,12.2518928
15,Lissabon,LIS,6078,2.41,Comp,38.7755936,-9.135366699999999
16,Kopenhagen,CPH,5054,2.01,Comp,55.6123217,12.6472252
17,Istanbul,IST,4899,1.95,Comp,41.2768202,28.7301735
18,Stockholm,ARN,4893,1.94,Comp,59.6497622,17.9237807
19,Athen,ATH,4824,1.92,Comp,37.9356467,23.9484156
20,Brüssel,BRU,4720,1.87,Mono,50.900999,4.4855744
21,Mailand-Malpensa,MXP,4441,1.76,Mono,45.6300625,8.7255307
22,Köln,CGN,4260,1.69,Mono,50.86662279999999,7.1412431
23,Warschau,WAW,3809,1.51,Comp,52.1672369,20.9678911
24,Belgrad,BEG,3756,1.49,Comp,44.8202985,20.2931408
25,Prag,PRG,3597,1.43,Comp,50.10179100000001,14.2631811
26,Nizza,NCE,3555,1.41,Comp,43.6597689,7.214821400000001
27,Venedig,VCE,3480,1.38,Comp,45.5044563,12.3399699
28,Budapest,BUD,3138,1.25,Mono,47.4384587,19.2522958
29,Hannover,HAJ,2974,1.18,Mono,52.46301159999999,9.6846184
30,Stuttgart,STR,2628,1.04,Comp,48.6876365,9.205575999999999
