LV-Rechnung,Flugtyp,Stunden,Kunde LTDB,Flugziel,Flugdatum,Zusatzinformation,Passagiere
90145298,Falcon 900,1.0,C Departement WBF,Stuttgart,2017-02-20 00:00:00,BR Schneider Ammann,Anna Kappeler (Journalistin)
90147018,Falcon 900,2.0,C Departement WBF,Paris Villacoublay,2017-03-04 00:00:00,BR Schneider Ammann,"NR Christine Buillard-Marbach, NR Markus Hausammann, NR Werner Salzmann, NR Alice Glauser, NR Hans-Jörg Walter, RR Jacques Gerber, Benoît de Combaud, Patrick Barbey (Wirtschaft), Journalisten: Claire Muller, Jonas Ingold"
90147031,Excel Citation,3.5,C Departement WBF,Brüssel/London,30.-31.03.2017,BR Schneider Ammann,o
90148441,Falcon 900,3.0,C Departement WBF,London,20.+23.04.2017,BR Schneider Ammann,o
90152813,Falcon 900,48.75,C Departement WBF,Moskau - Yekaterinburg - Jakarta - Jedddah- Washington ,09.07. - 19.07.2017,BR Schneider-Ammann,"Heinz Karrer economiesuisse (Bern-Moscow-Yekaterinburg-Jakara), Atteslander Jan economiesuisse (Moscow-Jekaterinburg), RR Philippe Leuba (Jakarta-Jedah), Erznikan Tigran, Miachly Paul, Luft Alexander, Wandlfuh Hans-Rudolf (Moscow-Yekaterinburg, alle Wirtschaft)"
90151302,Falcon 900,2.0,C Departement WBF,Paris - Villacoublay,07. - 08.06.2017,BR Schneider Ammann,o
90151313,Falcon 900,9.0,C Departement WBF,Svalbrad,25. - 27.06.2017,BR Schneider Ammann,"NR Kathy Riklin, NR Thomas Aeschi (beide Bern-Svalbard)(Schweizer EFTA-Parlamentarier)"
90154270,Falcon 900,1.3,C Departement WBF,Lugano - Agno,2017-08-06 00:00:00,BR Schneider Ammann,o
90155985,Excel Citation,2.5,C Departement WBF,Roma,2017-09-08 00:00:00,BR Schneider Ammann,o
90157824,Falcon 900,6.25,C Departement WBF,Marrakech,09. - 10.10.2017,BR Schneider-Ammann ,o
90157826,Falcon 900,19.8,C Departement WBF,Atlanta-Washington,12. - 15.10.2017,BR Schneider-Ammann,"Valentin Vogt, Präsident Schweiz. Arbeitgeberverband, Vincenza Trivigno, Staatsschreiberin Kanton Aargau"
90157842,Falcon 900,7.75,C Departement WBF,Tel Aviv,27. & 30.10.2017,BR Schneider Ammann,"NR Claude Béglé, NR Elisabeth Schneider-Schneiter, SR Thomas Minder, Matthias Egger Präs. Swiss National Science Foundation, RR Philippe Leuba, RR Jacques Gerber, Fotograf: Anex Antony"
90159696,Falcon 900,2.0,C Departement WBF,Brüssel,06. / 07.11.2017,BR Schneider Ammann,o
90160505,Falcon 900,28.0,C Departement WBF,Buenos Aires,09. - 14.12.2017,BR Schneider-Ammann,o
