Id,Label,Date,Image,followers_count,friends_count
1001152617525936129,herrimukat,Mon May 28 17:25:59 +0000 2018,https://pbs.twimg.com/profile_images/1387970114256089089/tNfCsNeN_normal.jpg,125,604
1001739825307930624,MeinerAlleiner,Wed May 30 08:19:20 +0000 2018,https://pbs.twimg.com/profile_images/1455977515445522439/24eG55tG_normal.jpg,85,44
1004310316208017408,Antimyon106,Wed Jun 06 10:33:33 +0000 2018,https://pbs.twimg.com/profile_images/1004778581967466496/qAFoTqGo_normal.jpg,852,485
1004317466523324416,Micha96389898,Wed Jun 06 11:01:58 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,0,4
1005116853042270208,kern_hubert,Fri Jun 08 15:58:26 +0000 2018,https://pbs.twimg.com/profile_images/1005150966805618688/mgPuuUBe_normal.jpg,21,15
1006191456879603712,Sandy43987230,Mon Jun 11 15:08:32 +0000 2018,https://pbs.twimg.com/profile_images/1069013795018805248/78TrpTVJ_normal.jpg,213,321
1006901904,CaMo74830334,Wed Dec 12 17:44:00 +0000 2012,https://pbs.twimg.com/profile_images/1411426181094723598/QLFknlus_normal.jpg,16,67
1007127535,michawitcz,Wed Dec 12 19:26:41 +0000 2012,https://pbs.twimg.com/profile_images/499279978546995200/9L_Kz-zX_normal.jpeg,131,327
1009298233770893315,Der_Dowie,Wed Jun 20 04:53:45 +0000 2018,https://pbs.twimg.com/profile_images/1280236527851917313/YAZ_zdlX_normal.png,11,89
1009466744161947649,SandraScientist,Wed Jun 20 16:03:21 +0000 2018,https://pbs.twimg.com/profile_images/1009474373114384384/rrkyUtYn_normal.jpg,141,553
1010891024233914369,maromano13,Sun Jun 24 14:22:56 +0000 2018,https://pbs.twimg.com/profile_images/1374008804917006342/JuuwitvH_normal.jpg,47,140
1012419447506833409,heinrichs_elke,Thu Jun 28 19:36:20 +0000 2018,https://pbs.twimg.com/profile_images/1453616453094191107/1n63fwiy_normal.jpg,13,39
1012998855099547649,_____137_____,Sat Jun 30 09:58:42 +0000 2018,https://pbs.twimg.com/profile_images/1451533905299968010/o1YIZGsm_normal.jpg,1,0
1016294349578080256,sc_20201,Mon Jul 09 12:13:49 +0000 2018,https://pbs.twimg.com/profile_images/1403346387891326981/lyfVrQP3_normal.jpg,983,1979
1017056547237658624,Alleswirdgut72,Wed Jul 11 14:42:31 +0000 2018,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,61,113
101789090,rudybouma,Mon Jan 04 15:39:35 +0000 2010,https://pbs.twimg.com/profile_images/1395040852913922049/R0VsXvSE_normal.jpg,29827,2023
1018840511593971712,JEZZA_1902,Mon Jul 16 12:51:21 +0000 2018,https://pbs.twimg.com/profile_images/1247201278016532480/ZdVxXBvv_normal.jpg,18,1242
1019618077,CharlesdenUijl,Tue Dec 18 11:53:14 +0000 2012,https://pbs.twimg.com/profile_images/3064464689/2e539cdbcaae92d77eed58e43909e47d_normal.jpeg,53,50
1020344466627080193,Rudischnucki,Fri Jul 20 16:27:32 +0000 2018,https://pbs.twimg.com/profile_images/1395957309713571844/kYq2sf9y_normal.jpg,18,89
1023659705099583488,Friedelkorn,Sun Jul 29 20:01:07 +0000 2018,https://pbs.twimg.com/profile_images/1162115026154598400/_mlgslDK_normal.jpg,430,383
1025087761496399873,emcaki,Thu Aug 02 18:35:42 +0000 2018,https://pbs.twimg.com/profile_images/1442466139221618693/qETilk0e_normal.jpg,268,413
1025668824912289794,Kakamukha1,Sat Aug 04 09:04:38 +0000 2018,https://pbs.twimg.com/profile_images/1072743399671906304/nmHRki8G_normal.jpg,163,251
102626298,ulrichfuchs,Thu Jan 07 09:17:13 +0000 2010,https://pbs.twimg.com/profile_images/1340996617743294466/-sZUfhHD_normal.jpg,680,951
102636426,DocDblU,Thu Jan 07 10:16:59 +0000 2010,https://pbs.twimg.com/profile_images/519361610834407425/0nKlktho_normal.jpeg,167,211
1026773320400818183,Fazer_DDorf,Tue Aug 07 10:13:30 +0000 2018,https://pbs.twimg.com/profile_images/1459481737218736133/jkH4ZfME_normal.jpg,921,2579
1027084864888168448,Adrian11192493,Wed Aug 08 06:51:28 +0000 2018,https://pbs.twimg.com/profile_images/1441417742767177739/eG9ZXZ7o_normal.jpg,1074,2963
102727416,eulebln,Thu Jan 07 16:43:13 +0000 2010,https://pbs.twimg.com/profile_images/1088127805261524992/K2G8VtnA_normal.jpg,31,157
1027905630,MMVienna,Sat Dec 22 06:43:06 +0000 2012,https://pbs.twimg.com/profile_images/1300816363246751744/ncV-YA_f_normal.jpg,12071,9007
